Day,Seans
01.02.2023,2 842
02.02.2023,2 743
03.02.2023,2 238
04.02.2023,1 715
05.02.2023,1 803
06.02.2023,2 764
07.02.2023,2 999
08.02.2023,2 706
09.02.2023,2 796
10.02.2023,2 351
11.02.2023,1 456
12.02.2023,1 552
13.02.2023,2 435
14.02.2023,2 231
15.02.2023,2 551
16.02.2023,2 576
17.02.2023,2 087
18.02.2023,1 474
19.02.2023,1 663
20.02.2023,2 192
21.02.2023,2 462
22.02.2023,2 652
23.02.2023,2 594
24.02.2023,2 158
25.02.2023,1 411
26.02.2023,1 678
27.02.2023,2 544
28.02.2023,2 647
01.03.2023,2 382
02.03.2023,2 351
03.03.2023,2 236
04.03.2023,1 505
05.03.2023,1 452
06.03.2023,2 442
07.03.2023,2 470
08.03.2023,2 447
09.03.2023,2 351
10.03.2023,2 233
11.03.2023,1 522
12.03.2023,1 327
13.03.2023,2 510
14.03.2023,2 621
15.03.2023,2 371
16.03.2023,2 377
17.03.2023,2 028
18.03.2023,1 219
19.03.2023,1 396
20.03.2023,2 358
21.03.2023,2 669
22.03.2023,2 526
23.03.2023,2 505
24.03.2023,2 049
25.03.2023,1 279
26.03.2023,1 396
27.03.2023,2 454
28.03.2023,2 457
29.03.2023,2 319
30.03.2023,2 500
31.03.2023,1 995
01.04.2023,1 165
02.04.2023,1 250
03.04.2023,2 240
04.04.2023,2 640
05.04.2023,4 224
06.04.2023,3 032
07.04.2023,2 577
08.04.2023,2 168
09.04.2023,2 314
10.04.2023,3 635
11.04.2023,3 439
12.04.2023,3 605
13.04.2023,2 903
14.04.2023,3 049
15.04.2023,2 140
16.04.2023,1 623
17.04.2023,2 519
18.04.2023,3 234
19.04.2023,2 695
20.04.2023,2 897
21.04.2023,3 105
22.04.2023,1 663
23.04.2023,2 319
24.04.2023,3 141
25.04.2023,3 291
26.04.2023,3 000
27.04.2023,2 812
28.04.2023,2 295
29.04.2023,1 615
30.04.2023,1 657
01.05.2023,2 468
02.05.2023,3 202
03.05.2023,2 808
04.05.2023,2 842
05.05.2023,2 598
06.05.2023,1 981
07.05.2023,2 015
08.05.2023,3 462
09.05.2023,3 419
10.05.2023,3 709
11.05.2023,3 503
12.05.2023,2 648
13.05.2023,1 612
14.05.2023,1 832
15.05.2023,2 925
16.05.2023,2 683
17.05.2023,2 758
18.05.2023,2 893
19.05.2023,2 327
20.05.2023,1 459
21.05.2023,1 682
22.05.2023,3 069
23.05.2023,3 595
24.05.2023,3 162
25.05.2023,2 778
26.05.2023,2 298
27.05.2023,1 427
28.05.2023,1 507
29.05.2023,1 943
30.05.2023,2 811
31.05.2023,2 731
